timestamp,symbol,open,high,low,close,volume
1752774000000,MSFT,512.49,512.6,512.49,512.59,13035
1752774060000,MSFT,512.6,512.71,512.595,512.69,15677
1752774120000,MSFT,512.675,512.9,512.675,512.9,13496
1752774180000,MSFT,512.89,512.89,512.79,512.84,15533
1752774240000,MSFT,512.83,512.87,512.77,512.77,13903
1752774300000,MSFT,512.81,512.85,512.79,512.82,10796
1752774360000,MSFT,512.81,512.93,512.79,512.82,17349
1752774420000,MSFT,512.825,512.9,512.77,512.84,12806
1752774480000,MSFT,512.85,512.86,512.74,512.75,19352
1752774540000,MSFT,512.75,512.81,512.72,512.8,13663
1752774600000,MSFT,512.82,512.85,512.805,512.83,8588
1752774660000,MSFT,512.82,512.85,512.72,512.84,15205
1752774720000,MSFT,512.833,512.86,512.81,512.845,12794
1752774780000,MSFT,512.83,512.88,512.74,512.78,24395
1752774840000,MSFT,512.77,512.79,512.714,512.74,14824
1752774900000,MSFT,512.74,512.85,512.71,512.785,12440
1752774960000,MSFT,512.8,512.94,512.78,512.915,13959
1752775020000,MSFT,512.92,512.96,512.85,512.9,14455
1752775080000,MSFT,512.905,512.92,512.81,512.84,12081
1752775140000,MSFT,512.845,512.845,512.69,512.77,12572
1752775200000,MSFT,512.785,512.88,512.7,512.829,20464
1752775260000,MSFT,512.9,512.918,512.8,512.85,12146
1752775320000,MSFT,512.858,512.858,512.7,512.78,28636
1752775380000,MSFT,512.78,512.82,512.68,512.695,18857
1752775440000,MSFT,512.67,512.68,512.6,512.649,64535
1752775500000,MSFT,512.615,512.615,512.5,512.53,17978
1752775560000,MSFT,512.52,512.54,512.25,512.37,24083
1752775620000,MSFT,512.415,512.415,512.26,512.327,20875
1752775680000,MSFT,512.355,512.39,512.291,512.33,13976
1752775740000,MSFT,512.34,512.34,511.88,512.18,26663
1752775800000,MSFT,512.2,512.44,512.15,512.16,22027
1752775860000,MSFT,512.15,512.15,511.96,512.03,23524
1752775920000,MSFT,512.03,512.06,511.9,511.915,22993
1752775980000,MSFT,511.935,512.08,511.935,512.075,15459
1752776040000,MSFT,512.08,512.085,512.01,512.08,11724
1752776100000,MSFT,512.1,512.11,511.99,512.04,15377
1752776160000,MSFT,512.05,512.12,512,512.119,22642
1752776220000,MSFT,512.13,512.14,512.01,512.06,12036
1752776280000,MSFT,512.08,512.16,512.06,512.1,16957
1752776340000,MSFT,512.14,512.33,512.1,512.245,90688
1752776400000,MSFT,512.255,512.28,512.17,512.17,10074
1752776460000,MSFT,512.17,512.17,512.01,512.045,22518
1752776520000,MSFT,512.08,512.15,511.97,512.015,16990
1752776580000,MSFT,512.046,512.12,512.02,512.08,42515
1752776640000,MSFT,512.04,512.29,511.99,512.255,22564
1752776700000,MSFT,512.26,512.35,512.241,512.28,26268
1752776760000,MSFT,512.28,512.345,512.22,512.345,16165
1752776820000,MSFT,512.33,512.39,512.29,512.31,16344
1752776880000,MSFT,512.3,512.31,512.155,512.17,20342
1752776940000,MSFT,512.21,512.28,512.13,512.144,15684
1752777000000,MSFT,512.13,512.192,512.13,512.192,12116
1752777060000,MSFT,512.17,512.18,511.76,511.79,26091
1752777120000,MSFT,511.79,511.92,511.79,511.88,14450
1752777180000,MSFT,511.868,511.95,511.84,511.905,19525
1752777240000,MSFT,511.915,511.96,511.89,511.915,15049
1752777300000,MSFT,511.93,512.03,511.89,511.92,22108
1752777360000,MSFT,511.925,511.955,511.86,511.88,13974
1752777420000,MSFT,511.86,511.95,511.86,511.92,16281
1752777480000,MSFT,511.92,512.02,511.92,511.99,14539
1752777540000,MSFT,512.01,512.01,511.9,511.975,13728
1752777600000,MSFT,511.995,512.03,511.96,511.96,7791
1752777660000,MSFT,511.96,511.99,511.9,511.97,21543
1752777720000,MSFT,511.955,512,511.93,511.99,15281
1752777780000,MSFT,512,512,511.94,511.97,12862
1752777840000,MSFT,511.965,512.01,511.915,511.96,16488
1752777900000,MSFT,511.999,511.999,511.86,511.877,14030
1752777960000,MSFT,511.89,511.925,511.82,511.904,22829
1752778020000,MSFT,511.87,511.94,511.8,511.92,34870
1752778080000,MSFT,511.915,511.92,511.81,511.83,14170
1752778140000,MSFT,511.82,511.91,511.82,511.9,12834
1752778200000,MSFT,511.9,511.93,511.86,511.92,11808
1752778260000,MSFT,511.88,511.88,511.58,511.675,43925
1752778320000,MSFT,511.67,511.74,511.62,511.74,17618
1752778380000,MSFT,511.74,511.78,511.68,511.735,19090
1752778440000,MSFT,511.735,511.772,511.66,511.66,10204
1752778500000,MSFT,511.68,511.909,511.67,511.88,27732
1752778560000,MSFT,511.86,511.895,511.818,511.86,19244
1752778620000,MSFT,511.86,511.872,511.72,511.73,51844
1752778680000,MSFT,511.73,511.75,511.65,511.66,17435
1752778740000,MSFT,511.71,511.71,511.54,511.59,26577
1752778800000,MSFT,511.59,511.8,511.44,511.75,48603
1752778860000,MSFT,511.75,511.8,511.73,511.75,14982
1752778920000,MSFT,511.77,511.94,511.73,511.82,32654
1752778980000,MSFT,511.82,511.941,511.79,511.86,20550
1752779040000,MSFT,511.84,511.99,511.84,511.99,22120
1752779100000,MSFT,512.01,512.09,511.97,512.01,25351
1752779160000,MSFT,512.03,512.059,511.94,511.956,14046
1752779220000,MSFT,511.975,512,511.9,511.991,18440
1752779280000,MSFT,511.99,512.13,511.97,512.13,19259
1752779340000,MSFT,512.15,512.175,512.02,512.07,26188
1752779400000,MSFT,512.07,512.13,512.06,512.08,24624
1752779460000,MSFT,512.095,512.095,511.97,511.99,18487
1752779520000,MSFT,511.98,512.01,511.95,512.002,19536
1752779580000,MSFT,511.97,511.99,511.86,511.985,27834
1752779640000,MSFT,511.98,512.04,511.933,512,18907
1752779700000,MSFT,511.98,512.03,511.951,511.97,24162
1752779760000,MSFT,511.97,512.08,511.95,512.08,24977
1752779820000,MSFT,512.065,512.15,512.04,512.04,22323
1752779880000,MSFT,512.045,512.25,512.045,512.21,24282
1752779940000,MSFT,512.205,512.36,512.19,512.279,42821
1752780000000,MSFT,512.3,512.3,512.2,512.21,23847
1752780060000,MSFT,512.24,512.29,512.19,512.28,31186
1752780120000,MSFT,512.27,512.28,512.09,512.1,33651
1752780180000,MSFT,512.095,512.11,512.01,512.09,20727
1752780240000,MSFT,512.09,512.21,512.06,512.15,20524
1752780300000,MSFT,512.145,512.18,512.08,512.17,33444
1752780360000,MSFT,512.12,512.16,512.09,512.09,24617
1752780420000,MSFT,512.07,512.105,511.99,512.09,27528
1752780480000,MSFT,512.09,512.16,512.02,512.09,26019
1752780540000,MSFT,512.09,512.13,512.05,512.09,22556
1752780600000,MSFT,512.07,512.22,512.03,512.22,34279
1752780660000,MSFT,512.23,512.325,512.2,512.315,49324
1752780720000,MSFT,512.315,512.33,512.23,512.265,39784
1752780780000,MSFT,512.28,512.3,512.23,512.26,29954
1752780840000,MSFT,512.25,512.28,512.23,512.245,33618
1752780900000,MSFT,512.23,512.24,512.11,512.205,30359
1752780960000,MSFT,512.19,512.19,512.04,512.045,37506
1752781020000,MSFT,512.05,512.14,512,512.06,34196
1752781080000,MSFT,512.066,512.09,511.97,512.025,33151
